Word,Sentences for the Word that are used in tests to fill in the blanks with the Word,Alternate words used in tests for sentence completion (need 3 words for every sentence),Definition for the Word used in tests to match the Word with its definition,Spelling alternatives used in tests on spelling.
Authority,The king had absolute authority over his subjects. ,"command, strength, charge","(n.) the power or right to give orders, make decisions, and enforce obedience; a person or body of people with power; an expert",Authority
,My friends did not like how the teacher was trying to exert his authority over his students.,"command, license, prestige",,Athority
,He spoke as if he was some sort of authority on the subject.,"genius, teacher, influence",,Authoritee
,Henry was not used to having this authority challenged.,"power, control, dominion",,Authoriti
,Sarah did not have the authority to fire employees at the firm.,"rights, force, credit",,Athoritee
,"When my mother was a child, she never questioned the authority of her parents.","rule, permission, force",,Athoriti
,"In many schools, the principal is regarded as the utmost authority figure.","power, government, jurisdiction",,Ethority
,Substitute teachers always excessively try to exert authority over the whole classroom.,"dominion, mastery, rule",,Uthoritee
,"If I ever challenge my mother's authority, she starts to go off on a tangent about my disrespect.","authorization, influence, command",,Athorettee
,Lower level employees do not have the authority to answer questions about highly confidential projects.,"right, charge, force",,Autoritty
Advocate,Larry tries to play devils advocate in all conversations to start arguments,"campaigner, defender, lawyer",(v.) to speak or write in favor of; support or urge by argument; recommend publicly,Advocat
,My friends and I are all strong advocates for equality among girls and boys.,"promoters, supporters, champions","(n.) a person who speaks or writes in support or defense of a person, cause, etc. (usually followed by of)",Advocate
,Any good doctor will advocate healthy eating for his patients.,"campaign for, defend, encourage",,Edvocait
,"Since Jason is an advocate of living a healthy life, I find it quite surprising he smokes cigarettes.","supporter, attorney, counsel",,Edvocate
,"As a teacher, I am a strong advocate for more parent involvement in schools.","proposer, speaker, campaigner",,Advocait
,"Rather than complain about the laws of your country, you should advocate for them to be changed.","favor, justify, press for",,Advokait
,"Because my lawyer was such a fierce advocate for me, I won my court case.","defender, supporter, promoter",,Advokate
,"Speakers advocate trying new methods to increase sales, improve margins.","recommend, support, push",,Addvocate
,"If you don't like it, advocate for changing it, not canceling it.","propose, promote, further",,Aidvocat
,"What she really is is an advocate, not a leader.","spokesperson, upholder, proposer",,Advoccate
Agile,Ballerinas are supposed to be agile to dance to the best of their ability,"quick, rapid, sharp",(adj.) quick and well-coordinated in movement; lithe,Agile
,"However, being the child of parents who spent their working lives in foreign postings, I became socially very agile.","limber, lithe, energetic",,Agil
,"In fact, monkeys are very agile climbers, using their long tails to balance.","supple, sharp, buoyant",,Agayle
,"All cats are nimble and agile, and their long tails aid their outstanding balance.","sprightly, spirited, athletic",,Ajile
,"The mind is not as agile as it once was as someone ages, even at the ripe old age of 34.","lithe, lively, active",,Ajil
,"Mustangs are wild, tough and agile.","athletic, energetic, brisk",,Ejil
,The university's mission is to develop leaders through agile and innovative programs embracing theory and practice.,"athletic, bustling, acute",,Ejile
,The lacemaker's wrinkled hands are surprisingly agile.,"alert, dexterous, clever",,Egile
,"Nutria are large, web-footed rodents that are more agile in the water than on land.","sprightly, rapid, alert",,Egil
,We need to evolve and keep our minds and bodies agile.,"energetic, bustling, spirited",,Ajayl
Abet,"He could not but view Ali in the light of an accomplice, because if, as he protested, he did not abet the murderers, yet he took them under his protection.","assist, advocate, endorse","(v.) to encourage, support, or countenance by aid or approval, usually in wrongdoing",Abet
,You are certainly not abetting the person breaking into your system.,"incite, instigate, spur",,Abit
,The photo editing software is sure to abet my odds of winning the photo competition.,"advocate, prod, endorse",,Ahbet
,Can you believe the community has decided to abet crime by not giving the police the names of suspected gang members?,"condone, urge, instigate",,Ahbit
,Giving the dog a treat is a way to abet his obedience.,"provoke, support, goad",,Abhet
,"During the press conference, the president vowed severe consequences for any person or group who chose to abet the terrorists.","sanction, incite, prod",,Abhit
,"To abet continued gaming, most casinos provide guests with frequent player rewards.","encourage, support, assist",,Ahbhet
,"Although Carol claims to support Jay’s filmmaking efforts, she has done nothing to abet his goals.","advocate, spur, endorse",,Ahbhit
,Isn’t it rather ironic that a doctor would go out of his way to abet a suicide?,"back, promote, support",,Ehbet
,"The grandmother was arrested for trying to abet her grandson, a prison escapee.","prod, urge, encourage",,Ebet
Accord,"The tears stopped of their own accord after a while, and the calm of her mind brought back her focus.","deal, conformity, rapport","(v.) to be in agreement or harmony; agree; to make agree or correspond; adapt; to grant; bestow
",Accord
,The parasympathetic division works in accord with mute right-brain intuition.,"reconciliation, congruence, correspondence",(n.) proper relationship or proportion; harmony,Acord
,"In accord with his wishes, the logo was engraved on his tombstone.","pact, harmony, sympathy",,Acorrd
,"Yet these reforms are necessary, and they will not happen of their own accord.","deal, concurrence, unanimity",,Accard
,Apple's products were designed to accord with the boss's tastes and to meet his obsessively high standards.,"agree, correspond, assent",,Acard
,But the economists argue that this approach to measuring hunger also does not accord with how people themselves think about it.,"conform, affirm, fit",,Acarrd
,"This was rejected, however, and full constitutional recognition was accorded to them.","bestow, give, accede",,Uccord
,The necklace suggests that the deceased had been accorded high status.,"confer, acquiesce, admit",,Uccard
,"We will not, by fasting, accord him a dignity and sensitivity that he does not possess.","present, allow, award",,Ucarrd
,Uncritical compliments are not in accord with the facts.,"rapport, sympathy, treaty",,Ucard
Adept,"While Fred, and to a lesser extent Cynthia, had solved cryptograms in the newspaper, neither were particularly adept at it.","accomplished, capable, deft","(adj.) very skilled; proficient; expert
",Adept
,It doesn't look like you're all that adept at talking to him either.,"proficient, adroit, skilled",,Addept
,"Indeed, the human brain is more adept at comparing lengths than areas.","skillful, sharp, expert",,Adeppt
,"Daily training at these schools was focused on becoming adept in the use of the sword, bow and arrow, spear and tonki.","quick, smooth, whiz",,Adipt
,He became so adept with the brush that his paintings show more spontaneity than most of his contemporaries.,"skillful, versed, clean",,Addipt
,"One of America's most lucid critics of poetry, uniquely adept at close reading, is also among the genre's great advocates.","capable, proficient, quick",,Adippt
,Few societies would be as adept at handling these events with as much social cohesion.,"accomplished, deft, expert",,Ahdept
,"While her books are not overly descriptive, they are adept in conveying sense of place.","sharp, versed, adroit",,Ahdeppt
,"The brand, actually, has become pretty adept at coming up with wraps that celebrate various holidays.","proficient, smooth, whiz",,Ahddept
,"Dogs, those self-domesticated wolves, are adept at manipulating their chosen companions.","dexterous, masterly, accomplished",,Uhdept
Allot,,"allot, assign, designate",(v.) to divide or distribute by share or portion; distribute or parcel out; apportion; to appropriate for a special purpose,Allot
,"Ben will allot them each a fortress within this small kingdom, and then the game can begin.","appoint, apportion, distribute",,Ahlot
,You can even allot more bandwidth to movie files so the picture won't stutter.,"appropriate, budget, cut",,Ahlott
,"Instead of giving cash to local operators on trafficking routes, they would allot them a share of the shipment.","share, slice, distribute",,Ulot
,Intent and effort toward holistic living is more important than trying to allot equal time to different parts of life.,"designate, appoint, earmark",,Ulott
,What he sees in short supply is the time that most people allot to accomplishing something worthwhile.,"dole, assign, apportion",,Uhlot
,Not every museum has space the size of a football field to allot to a one-person show.,"designate, budget, slice",,Uhlott
,"In each case, that was as much time as the candidates would allot.","share, cut, distribute",,Uhllot
,Comments are invited on the formula used to allot funds to the outlying areas.,"earmark, appoint, designate",,Ullot
,Keep the smile on your face because you have allot to share with so many people.,"dole, allot, apportion",,Ahllot
Aloof,To the Greeks the gods seemed equally close and equally aloof.,"detached, apart, indifferent","(adv.) at a distance, especially in feeling or interest; apart",Aloof
,His avuncular manner and unpredictable chuckle made him the antithesis of an aloof scientist.,"chilly, cold, casual",(adj.) reserved or reticent; indifferent; disinterested:,Ahloof
,That humility made her approachable rather than aloof .,"distant, offish, laid back",,Ahlloof
,More mysterious was his aloof management style within his own team.,"unresponsive, unfriendly, unsympathetic",,Ahlooff
,She appeared aloof and sometimes refused to shake hands with admirers.,"reserved, secluded, standoffish",,Uhloof
,"She found them aloof and difficult to contact, however, because none of them posted office hours.","unsociable, unfriendly, unconcerned",,Uhlloof
,"However aloof they may seem, they're not indifferent.","indifferent, forbidding, loner",,Uhlooff
,"He was friendly but aloof, a thoughtful fellow toiling in the shade of mystique.","haughty, distant, detached",,Uloof
,"For years science has maintained a rather aloof stance toward domestic animals in general, and toward dogs in particular.","unapproachable, withdrawn, indifferent",,Uloof
,"Contemporaries often found him aloof, standoffish, and cantankerous and his mannerisms and diction inscrutable.","unresponsive, unsociable, haughty",,Ulloof
Amiss,"They also discuss typical side-effects of surgery, the signs when something's going amiss and what to expect during recovery.","awry, crooked, erroneous","(adv.) out of the right or proper course, order, or condition; improperly; wrongly; astray",Amiss
,"Things really do go bump in the dark, and the baby and family dog figure out that something is amiss long before the adults do.","improper, faulty, false","(adj.) improper; wrong; faulty:

",Ammiss
,There is something seriously amiss here and it has nothing to do with science.,"untowards, confused, erring",,Amis
,"When a dog is on the street alone, we assume something's amiss.",,,Ammis
,The only thing amiss is the out-dated system that moves the money to the content creators.,,,Uhmiss
,"If they are incorrect, they assume something is amiss with the universe, which is unlikely.",,,Uhmis
,It's possible to point out something amiss without judging the people concerned.,,,Uhmmis
,But often there is something amiss when a middle-income country has such a rich currency.,,,Uhmmiss
,"In the case presented, this was the first sign that something was amiss: the patient was not breathing properly.",,,Emiss
,What makes a property flip illegal is when there is something amiss in the transaction.,,,Emmiss
Analogy,,,"(n.) a similarity between like features of two things, on which a comparison may be based",Analogy
,,,,Anallogy
,,,,Annalogy
,,,,Annallogy
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Anarchy,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Antics,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Apprehend,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Ardent,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Articulate,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Assail,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Assimilate,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Atrocity,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Attribute,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Audacious,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Augment,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Authority,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Avail,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Avid,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Awry,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Balmy,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Banter,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Barter,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Benign,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Bizarre,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Blase,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Bonanza,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Bountiful,,,,